epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,165.034,0.77167,0.98589,0.99983,0.0474,0.00333182,0.00333182,0.00333182
2,321.938,0.07925,0.98902,0.99994,0.0348,0.00653318,0.00653318,0.00653318
3,478.991,0.12301,0.98168,0.99943,0.0556,0.00960254,0.00960254,0.00960254
4,637.391,0.13498,0.9938,0.99989,0.02118,0.009406,0.009406,0.009406
5,794.436,0.09114,0.99579,1,0.0111,0.009208,0.009208,0.009208
6,951.465,0.08528,0.99659,0.99994,0.01057,0.00901,0.00901,0.00901
7,1108.05,0.08489,0.99704,1,0.00947,0.008812,0.008812,0.008812
8,1263.57,0.08172,0.9971,1,0.00875,0.008614,0.008614,0.008614
9,1419.39,0.08034,0.99738,1,0.00854,0.008416,0.008416,0.008416
10,1575.12,0.07943,0.99738,0.99994,0.0086,0.008218,0.008218,0.008218
11,1730.91,0.07786,0.99727,0.99994,0.0086,0.00802,0.00802,0.00802
12,1886.92,0.0744,0.99721,0.99994,0.00861,0.007822,0.007822,0.007822
13,2042.79,0.07433,0.99727,0.99994,0.00867,0.007624,0.007624,0.007624
14,2198.45,0.07041,0.99738,0.99994,0.00865,0.007426,0.007426,0.007426
15,2354.32,0.07098,0.99738,0.99994,0.00887,0.007228,0.007228,0.007228
16,2509.97,0.06759,0.9971,0.99994,0.00885,0.00703,0.00703,0.00703
17,2666.43,0.06369,0.99715,0.99994,0.00882,0.006832,0.006832,0.006832
18,2822.45,0.05921,0.99721,1,0.00876,0.006634,0.006634,0.006634
19,2978.23,0.05774,0.99733,0.99994,0.00858,0.006436,0.006436,0.006436
20,3133.87,0.05831,0.9975,0.99994,0.00843,0.006238,0.006238,0.006238
21,3289.26,0.05634,0.99733,0.99994,0.00818,0.00604,0.00604,0.00604
22,3445.21,0.05253,0.99767,0.99994,0.00788,0.005842,0.005842,0.005842
23,3601.59,0.05067,0.99784,0.99994,0.00739,0.005644,0.005644,0.005644
24,3757.71,0.04845,0.99818,0.99994,0.00693,0.005446,0.005446,0.005446
25,3913.83,0.0475,0.99812,0.99994,0.00663,0.005248,0.005248,0.005248
26,4069.88,0.04516,0.99812,0.99994,0.00636,0.00505,0.00505,0.00505
27,4226.52,0.04253,0.99824,0.99994,0.00608,0.004852,0.004852,0.004852
28,4382.95,0.04107,0.99812,0.99994,0.00593,0.004654,0.004654,0.004654
29,4540.1,0.0393,0.99835,0.99994,0.0057,0.004456,0.004456,0.004456
30,4696.98,0.04154,0.99829,0.99994,0.0055,0.004258,0.004258,0.004258
31,4853.48,0.0356,0.99858,0.99994,0.00511,0.00406,0.00406,0.00406
32,5010.13,0.03319,0.99863,0.99994,0.00493,0.003862,0.003862,0.003862
33,5166.62,0.02974,0.99852,0.99994,0.00475,0.003664,0.003664,0.003664
34,5323.48,0.02934,0.99858,0.99994,0.00442,0.003466,0.003466,0.003466
35,5480.25,0.02764,0.99858,0.99994,0.00414,0.003268,0.003268,0.003268
36,5637.53,0.02489,0.99869,0.99994,0.00388,0.00307,0.00307,0.00307
37,5794.61,0.0237,0.99875,0.99994,0.00372,0.002872,0.002872,0.002872
38,5952.08,0.02051,0.9988,0.99994,0.00351,0.002674,0.002674,0.002674
39,6109.15,0.01912,0.99909,0.99994,0.00322,0.002476,0.002476,0.002476
40,6273.41,0.01778,0.99909,1,0.00303,0.002278,0.002278,0.002278
41,6488.87,0.0153,0.99937,1,0.00292,0.00208,0.00208,0.00208
42,6646.33,0.01316,0.99943,1,0.0028,0.001882,0.001882,0.001882
43,6802.35,0.01128,0.99943,1,0.00268,0.001684,0.001684,0.001684
44,6957.4,0.00961,0.99943,1,0.0026,0.001486,0.001486,0.001486
45,7113.3,0.00853,0.99937,1,0.00248,0.001288,0.001288,0.001288
46,7268.26,0.00721,0.99943,1,0.00234,0.00109,0.00109,0.00109
47,7423.69,0.00589,0.99954,1,0.00218,0.000892,0.000892,0.000892
48,7579.05,0.00475,0.99954,1,0.00209,0.000694,0.000694,0.000694
49,7734.2,0.00403,0.9996,1,0.00202,0.000496,0.000496,0.000496
50,7889.64,0.00378,0.9996,1,0.00197,0.000298,0.000298,0.000298
